Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Team,Successful Pick
2023,NBA,1,12,Dereck Lively (↳DAL),Duke,55.0,1294.0,483.0,378.0,60.0,0.747,0.0,0.506,23.5,8.8,6.9,1.1,4.9,0.183,0.5,0.8,OKC Thunder,False
2022,NBA,1,2,Chet Holmgren,Gonzaga,82.0,2413.0,1357.0,648.0,200.0,0.53,0.37,0.793,29.4,16.5,7.9,2.4,8.9,0.178,3.4,3.3,OKC Thunder,False
2022,NBA,1,12,Jalen Williams,Santa Clara,146.0,4499.0,2411.0,619.0,570.0,0.532,0.395,0.813,30.8,16.5,4.2,3.9,12.9,0.138,1.3,3.8,OKC Thunder,False
2022,NBA,1,30,Peyton Watson (↳DEN),UCLA,103.0,1674.0,607.0,295.0,97.0,0.468,0.307,0.651,16.3,5.9,2.9,0.9,2.7,0.079,-2.3,-0.1,OKC Thunder,False
2022,NBA,2,34,Jaylin Williams,Arkansas,118.0,1811.0,564.0,475.0,186.0,0.426,0.385,0.747,15.3,4.8,4.0,1.6,4.3,0.114,-0.3,0.8,OKC Thunder,True
2021,NBA,1,6,Josh Giddey,,210.0,6078.0,2920.0,1534.0,1200.0,0.464,0.31,0.753,28.9,13.9,7.3,5.7,8.6,0.068,0.7,4.1,OKC Thunder,False
2021,NBA,1,16,Alperen Şengün (↳HOU),,210.0,5706.0,3132.0,1660.0,788.0,0.528,0.284,0.705,27.2,14.9,7.9,3.8,14.2,0.12,2.0,5.8,OKC Thunder,False
2021,NBA,1,18,Tre Mann,Florida,168.0,3537.0,1524.0,475.0,376.0,0.408,0.345,0.776,21.1,9.1,2.8,2.2,1.8,0.024,-3.4,-1.2,OKC Thunder,False
2021,NBA,2,36,Miles McBride (↳NYK),West Virginia,172.0,2460.0,873.0,192.0,227.0,0.404,0.355,0.76,14.3,5.1,1.1,1.3,4.6,0.09,-1.4,0.4,OKC Thunder,True
2021,NBA,2,55,Aaron Wiggins,Maryland,198.0,3734.0,1437.0,574.0,234.0,0.514,0.394,0.78,18.9,7.3,2.9,1.2,7.5,0.097,-1.9,0.1,OKC Thunder,False
